stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,85.81,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,0,6.42,0,0,0,1.07,16.05,17.12,0,0,10.7,0,0,5.35,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,0,1.34,1.34,0,0,0,8.03,0,0,0,0,12.05,2.68,1.34,0,12.05,2.68,0,1.34,2.68,2.68,0,0,0,1.34
3Month,0.32,2.24,15.36,0.32,12.48,1.92,0,85.43,2.56,0,25.92,0,3.52,0.32,11.2,2.56,0,1.28,7.36,0.32,0.32,3.52,1.92,1.92,2.24,3.52,0,0,0,0.32,0.32,0.96,1.6
22Month,0,3.28,15.31,0.55,5.47,1.64,28.97,207.18,0.55,0.55,23.51,0.55,0.55,2.73,10.93,0,4.37,2.19,0,0.55,0.55,4.92,1.64,3.28,0.55,3.83,1.09,0,0,0.55,1.64,0,1.64
