stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,220.67,53.12,764.16,57.21,0,0,16.35,0,28.6,16.35,0,8.17,8.17,32.69,93.99,36.78,12974.33,0,0,13256.3,3600.12,4.09,0,49.04,0,0,4.09,8.17,0,0
72hpf,5.35,0,3.21,6.42,31.02,1.07,0,0,0,0,0,0,0,0,2.14,0,47.07,0,0,116.61,40.65,0,5.35,33.16,0,0,2.14,0,0,0
21Day,6.69,0,0,0,21.42,0,0,0,0,0,0,0,0,0,0,0,37.48,0,0,2.68,2.68,0,0,1.34,2.68,0,0,0,0,0
3Month,0.96,0,0.64,0,0,0,0,0,0,1.92,0.32,0,0.96,0.32,0,0,0.64,0,0,0,0,0,0,0,0,0.32,0,0,1.92,0.64
22Month,1.09,0.55,2.19,0,0,0,4.92,168.92,0,17.49,1.09,0.55,1.09,0,0,0.55,1.64,0.55,0.55,0.55,0.55,0,0.55,0,0,0,0,0,0,0.55
