stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,114.42,16.35,0,0,0,0,0,0,0,0,0,0,8.17,4.09,16.35,0,0,0,16.35,1205.49,0,0,0,0,0,0,0,0,0,93.99,0,0,0
72hpf,12.84,1.07,0,23.54,17.12,5.35,0,0,0,0,0,0,0,0,3.21,29.95,0,7.49,0,1.07,0,533.83,205.4,0,0,0,12.84,3.21,0,78.09,13.91,0,86.65,0,0,0
21Day,0,0,2.68,13.39,2.68,2.68,0,0,0,0,1.34,0,4.02,2.68,4.02,4.02,1.34,9.37,0,0,0,206.13,68.27,0,0,0,5.35,1.34,0,25.43,1.34,5.35,4.02,0,0,2.68
3Month,0,0.96,0.32,54.71,2.24,0,0.32,0.32,0.64,0,6.08,2.56,0.32,3.2,3.2,5.76,4.16,2.24,2.24,0,1.28,4.8,6.08,0.64,0.32,0,0,0.96,4.8,3.2,0.96,0,13.76,1.28,3.2,1.6
22Month,0,3.28,0,62.87,0,0,1.09,0,0.55,1.09,19.13,0.55,1.09,2.19,2.19,2.73,3.28,7.11,0,0.55,0,3.83,6.56,1.09,0.55,1.09,0,0,5.47,3.83,1.09,0,8.2,1.09,0,1.09
