stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,4.09,0,4.09,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,16.35,0,0,0,4.09,89.9,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,5.35,2.14,0,0,0,0,0,0,0,0,2.14,7.49,0,7.49,0,0,1.07,89.86,25.67,0,0,7.49,0,0,3.21,1.07,0,0,0
21Day,2.68,0,0,30.79,0,0,2.68,0,0,1.34,0,2.68,1.34,1.34,16.06,1.34,14.72,0,2.68,0,22.76,4.02,0,0,1.34,1.34,0,1.34,0,1.34,0,2.68
3Month,0.32,2.24,0.64,19.52,0,0.32,0,3.2,2.88,12.48,2.56,0.96,10.88,0.96,11.2,7.04,3.84,0.64,0.64,0.64,0.64,0.32,0.96,0,0.32,0.32,0.64,0,0,3.2,0.32,3.52
22Month,0,3.83,0.55,4.37,0,0,0,1.09,3.28,7.65,0,0.55,0.55,0.55,0,0.55,2.19,0,1.09,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0.55
