stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0
3Month,0.64,0.64,0.96,4.8,0,0,0.32,0.32,0.96,0,6.4,1.28,0,2.24,1.92,0.64,1.28,0.64,0,0.32,0.96,0,0,0.32,0,0.32,0.32,9.28,0.32,24.32,1.6
22Month,0,2.19,1.64,5.47,0.55,0.55,0,0.55,2.19,8.2,80.36,1.09,0.55,4.92,0.55,3.28,5.47,0.55,1.64,0,0,0,0,0,0.55,0.55,0.55,4.37,0,0.55,1.09
