stage,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,20.43,0,0
72hpf,0,0,2.14,0,0,0
3Month,0,0.32,0,0,0.96,1.28
