stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,2.14,0,0,0,0,1.07,0,0,0,0,0,1.07,1.07,2.14,0,1.07,0,7.49,3.21,1.07,0,0,0,0,0,0,0,0,0
21Day,0,10.71,1.34,2.68,0,2.68,0,0,0,0,0,0,1.34,1.34,0,1.34,0,0,0,4.02,2.68,0,2.68,0,0,0,1.34,1.34,0,0,0
3Month,0.64,6.72,0,0,0,0.32,1.6,0.32,0,10.56,0.32,4.48,0.64,2.56,1.6,2.56,0.64,0,1.28,0.32,0,0.32,0,0.32,0.32,2.88,0,0,1.28,7.04,3.84
22Month,0,1.64,0,0,0.55,0,0,0.55,0.55,14.76,1.64,3.83,0,0,1.09,2.19,0,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0.55
