stage,Epithelial_cell,Hatching_gland,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,4.09,0,0,4.09
72hpf,0,0,1.07,4.28,0
21Day,1.34,0,0,0,2.68
