stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,40.86,12.26,0,0,0,0,0,0,0,4.09,0,0,0,4.09,36.78,0,0,0,0,0,0,0
72hpf,1.07,14.98,0,0,0,0,0,0,0,0,0,2.14,0,0,5.35,2.14,0,2.14,1.07,3.21,0,0,0
21Day,0,13.39,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,1.34,0,1.34,0
3Month,0,7.36,2.56,0.64,0,3.52,0,0.32,0.32,0,0.32,0.96,0,0.32,0,0.32,0,0,5.12,0.64,0.64,1.92,0.32
22Month,0,23.51,2.19,2.19,0.55,24.6,1.64,1.09,0,0.55,1.09,6.01,0.55,2.19,0,0.55,0.55,0,14.21,1.64,0.55,0,0.55
