stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,5.35,0,0,0,0,0,6.69,0,0,21.42,0,0,0,2.68,0,1.34,0,0,2.68,0,0,0,0,0,0,0,0,0
3Month,0,1.92,2.24,8.96,0.32,2.56,2.56,1.6,0,352.9,6.08,0.32,158.37,0.96,3.2,1.92,7.04,0.96,0.96,0.64,0.64,0.64,0.32,0.96,0.32,6.08,3.2,0.32,0.96,1.92,3.2
22Month,0.55,1.09,3.28,4.37,0,0.55,3.28,2.73,1.64,724.86,0.55,0.55,247.09,0,0.55,3.83,4.92,0,13.67,0,0,0,0.55,1.09,1.64,0.55,1.09,0.55,1.09,0,2.73
