stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,4.09,4.09,0,0,0,20.43,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,1.07,0,3.21,1.07,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,1.34,1.34,0,0,0,1.34,0,0
3Month,1.92,0,0.32,0.64,0,0.96,0,0,0,0,0,0.32,17.92,0,0.32,3.84
22Month,0,0,1.09,12.57,0.55,0,0.55,0,0,0,0,0,0,0,0,0
