stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,2.14,0,0,0,0,1.07,3.21,0,3.21,0,0,104.84,17.12,1.07,0,1.07,0,2.14,0,0,0,0
21Day,0,1.34,2.68,0,1.34,0,0,1.34,1.34,1.34,1.34,0,1.34,0,1.34,77.63,5.35,2.68,0,1.34,1.34,1.34,1.34,0,0,0
3Month,0.96,0.32,2.88,0.32,0,0.96,0.32,0,1.6,0,1.6,0.64,2.56,0.32,0.32,5.76,0,8,0.32,0,0.96,0.32,0,0.32,6.72,0.32
22Month,0,0.55,1.09,0,0,1.64,0,0,0,0,0.55,0,0,0,0,1.09,0,3.28,0,0,0,1.09,0,0,0,0
