stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,281.96,0,0,53.12,20.43,0,0,0,0,0,0,0,0,0,0,57.21,4.09,73.56,0,0,0,0,69.47,155.28,0,0,0,0,0,0,0,4.09,0,0
72hpf,52.42,0,0,29.95,36.37,3.21,0,0,0,1.07,0,0,0,0,2.14,225.73,0,53.49,0,0,0,0,99.49,112.33,31.02,0,19.26,0,0,1.07,0,2.14,0,0
21Day,362.74,0,1.34,65.59,40.16,12.05,2.68,0,0,0,4.02,2.68,10.71,0,2.68,68.27,22.76,76.3,0,0,0,0,77.63,62.91,2.68,2.68,5.35,12.05,2.68,1.34,2.68,0,0,0
3Month,0.64,0.64,0,11.2,3.2,0,0,0.64,0,0,5.44,0.96,0.32,2.24,0,7.68,5.44,4.16,0.96,0.32,0.96,0.32,2.56,0.32,3.84,0,0,0,0.64,0,0,0,81.59,0.64
22Month,0,0,0,4.92,1.64,0,0,0.55,0.55,0,1.64,0,0,0.55,0.55,1.64,1.09,0,0,0.55,0,0,0,0,4.37,0,0,0,4.37,0,0,0,0,0
