stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.42,0,0,0,0,0,2.14,2.14,0,0,0,0,0,0,17.12,5.35,0,0,0,0
21Day,4.02,0,8.03,2.68,0,2.68,0,0,0,1.34,0,2.68,1.34,1.34,16.06,2.68,8.03,0,2.68,0,12.05,12.05,0,0,6.69,4.02,0,1.34,103.07,402.9,0,0,0,0
3Month,0.32,0.32,3.84,0,0,0,0,0.32,0,1.92,0.32,0,0.32,0,0.32,1.28,0.64,0,0,0.32,0.32,0,0,0,0,0,1.6,0,0.96,0,0.32,0.96,0.32,1.6
22Month,0,1.64,3.83,0,1.09,0,0.55,6.01,1.09,27.88,0.55,0,2.73,0,2.19,2.73,1.64,2.19,0.55,0,0,0,0.55,0.55,0,0,4.92,0.55,375.01,3.83,0,0,0,2.19
