stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,0,0
21Day,1.34,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0.32,0.96,0.64,1.92,0.64,0.32,0,0,1.28,5.12,0.32
