stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,24.52,69.47,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,1.07,2.14,0,0,0,0,0,0,1.07,0,0,0,1.07,3.21,0,6.42,0,0,0,49.21,14.98,0,1.07,0,5.35,0,0,0,2.14,0,0,0,0,0
21Day,1.34,0,13.39,0,4.02,0,1.34,0,1.34,0,0,0,0,0,1.34,1.34,4.02,22.76,0,2.68,0,21.42,4.02,1.34,0,0,2.68,1.34,0,1.34,2.68,2.68,1.34,0,0,0
3Month,0,1.28,13.12,0.32,0,0.32,0,0.64,1.6,0,5.12,2.88,0.32,2.56,4.16,6.72,4.8,7.04,2.88,1.92,0.96,0.96,0.32,1.28,1.28,0,1.6,1.6,10.56,0,0,0,0,3.52,0.64,20.48
22Month,0,7.11,9.29,0,0,0.55,0,1.09,5.47,7.11,32.25,8.2,1.64,8.2,1.09,2.73,8.75,12.57,0,1.64,0,0,0,1.64,0.55,1.09,1.09,0.55,0.55,2.19,0,0,0.55,0.55,0,14.76
