stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0,8.17,40.86,0,0,0,20.43,355.52,0,8.17,0,0,0,0,0,0,0
72hpf,2.14,3.21,4.28,1.07,1.07,1.07,0,1.07,0,0,0,0,2.14,2.14,0,9.63,0,0,0,49.21,47.07,1.07,4.28,0,0,2.14,0,2.14,0,0
21Day,6.69,0,16.06,0,9.37,5.35,0,0,0,2.68,0,8.03,1.34,9.37,1.34,26.77,0,4.02,0,8.03,18.74,1.34,1.34,4.02,0,5.35,4.02,1.34,0,1.34
3Month,0.32,0.64,0.96,0,0,0,0.96,0.64,0,6.08,0,0,0,0,0.64,0,0,0.32,0.32,0,0,0,0,0.32,1.6,0,0,0.32,0.32,0.64
22Month,0,1.64,2.73,0,0,0.55,0.55,1.64,2.73,11.48,0.55,0.55,0,0.55,1.09,1.64,1.09,0.55,0,0,0,0,0,0,0,0,0,0.55,0,0
