stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,143.02,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,4.28,11.77,0,1.07,1.07,0,1.07,0,0,0,0
21Day,4.02,0,0,1.34,0,0,0,0,0,0,0,9.37,1.34,0,10.71,4.02,0,1.34,4.02,5.35,0,4.02,0,0,1.34,1.34,0,0,6.69
3Month,0,0,0.64,0,0,0.32,0,0.32,0,0.32,0,0,0.64,0.64,0.64,0.32,0,0,0,0,0,0,0,1.28,0,0,0.32,0.32,1.6
22Month,0.55,0,3.28,0,0.55,0.55,0.55,4.37,1.09,20.23,1.09,0.55,2.19,0,2.19,2.73,0.55,0.55,0,0,0.55,0,0,1.09,0,0,0,0,1.09
