stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,53.12,0,0,0,0,0,0,0,0,0,0,0,81.73,0,4.09,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,13.91,1.07,0,0,0,0,0,0,0,0,0,1.07,14.98,0,2.14,0,0,0,0,1.07,2.14,1.07,0,2.14,0,0,0,1.07,0,0,0
21Day,1.34,0,0,64.25,0,2.68,0,1.34,0,0,0,0,0,0,1.34,28.11,2.68,8.03,0,0,1.34,0,2.68,4.02,2.68,0,0,1.34,0,0,0,0,0,0
3Month,0,0.96,0.32,244.12,0.96,0,0.64,0,4.8,0.64,12.16,3.52,0,4.48,7.36,59.83,3.84,6.4,0,0,0.64,0.96,0.96,0,1.28,0.96,0.64,0.96,4.8,0,0.32,1.28,0.96,3.2
22Month,0,0,0,18.04,0.55,0,0,0,0.55,3.28,13.67,0,0.55,0.55,1.09,8.2,2.19,2.73,0.55,0.55,0,0,0,0,0,0,0,0,2.19,0.55,0,0,0,0
