stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,1.6,0,1.6,0,0,0,0,0,0.32,0,2.88,0.32,0,0.64,0,0.32,0.32,0.32,0.32,0,0,0.32,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0.32,0
22Month,412.72,241.62,184.22,292.46,25.15,395.78,7.65,4.37,95.12,215.93,156.34,2327352.66,108.24,48.11,401.24,45.37,50.29,196.25,308.86,12.57,3077.67,369.54,10.93,84.73,2.73,49.75,216.48,3163.49,11.48,194.61,38.81,21.87,2119.93,39.36,0.55,9.29,1.09,66.69
