stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,8.17,670.17,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,0,2.14,5.35,0,0,0,0,0,0,0,0,0,1.07,8.56,0,12.84,0,0,378.71,114.47,4.28,67.4,14.98,0,2.14,68.47,1.07,1.07,1.07,0,0
21Day,2.68,1.34,0,13.39,0,13.39,0,0,0,1.34,0,1.34,0,1.34,0,0,1.34,2.68,28.11,0,2.68,330.62,40.16,6.69,93.7,5.35,8.03,6.69,12.05,1.34,2.68,2.68,0,2.68
3Month,0,0,0.64,8.32,0,0,0.64,0,1.92,1.6,0,5.76,2.88,0,0.64,0.32,0.32,2.56,2.56,0.96,1.92,8.32,2.24,6.08,139.82,0.32,0.32,24.64,0.64,0,0,0.32,3.2,0.96
22Month,0,1.09,0.55,8.2,0,0,0,0.55,1.09,3.28,1.64,22.96,0,0,1.09,0.55,0,1.09,4.37,0.55,0.55,5.47,1.64,9.84,39.36,1.09,0,22.41,0.55,0,0,0,0,0.55
