stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,0,0,18.19,0,0,0,1.07
21Day,1.34,1.34,0,1.34,0,33.46,2.68,0,1.34,0
3Month,0,0,0.32,0,0,0.96,0,0.32,0,0
22Month,0,0,3.28,0,1.64,0,0,0,0,0
