stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,1.07,2.14,0,2.14,0,0,119.82,5.35,0,2.14,0,1.07,0,1.07,0,0,0
21Day,4.02,0,6.69,1.34,0,0,0,0,1.34,0,0,0,2.68,1.34,8.03,0,1.34,28.11,5.35,0,2.68,0,1.34,1.34,0,0,0,0
3Month,0,0.32,1.92,0,0,0.64,1.28,1.92,1.6,0,1.28,0.96,0.64,0.32,2.56,0.64,0.32,0.32,0,0,0,1.28,0,0,0,0.32,0.32,0.32
22Month,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0,0.55,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0
