stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,2.14,0,2.14,0,0,0,0,0,0,0,0,5.35,0,2.14,0,73.82,53.49,0,1.07,0,6.42,0,0,13.91,1.07,0,0,0,0
21Day,1.34,0,1.34,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,30.79,6.69,0,1.34,0,0,1.34,0,9.37,0,2.68,0,0,0
3Month,0,1.6,0.32,3.2,0.32,0,0.32,0.32,0,3.2,0,0.32,0.96,0.32,0.32,0.64,1.6,0.32,0.64,0,0.32,0,0,0,0,0.96,0.64,0,0,0.64,1.6,0.32
22Month,0,5.47,0,3.83,0,0,0,0,1.09,15.85,0.55,0.55,1.09,0,0.55,1.64,3.28,0,0,0,0,0.55,0.55,0,0.55,0,0,0,0,0,0,0.55
