stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,16.35,40.86,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,1.07,0,3.21,1.07,0,0,0,0,0,0,0,0,6.42,3.21,5.35,0,0,287.77,17.12,0,3.21,2.14,0,0,2.14,0,0,2.14,0,0
21Day,2.68,4.02,10.71,12.05,2.68,0,0,0,0,0,1.34,0,0,9.37,0,4.02,0,1.34,147.24,5.35,1.34,14.72,1.34,2.68,0,6.69,1.34,4.02,0,0,0
3Month,0,0,6.4,0,0,0.64,0.64,0,3.84,0.96,0,1.28,0,0.64,0.32,0.64,0.32,0,1.28,0,1.28,0.32,0.32,0,1.6,0,0,0,0,7.36,0.64
22Month,0,1.64,1.64,0,0,1.09,1.64,1.64,10.93,0,0,2.73,0.55,0.55,0,0,0,0,1.09,0,2.19,2.19,0,0,0.55,0,0.55,0,0,0,0.55
