stage,Epithelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,0,0,0,0,0,1.07,1.07,0
21Day,1.34,0,0,0,0,0,0,0
3Month,0,0,0.32,0.96,0.64,0,0,1.92
22Month,0,1.09,0,0,0,0,0,4.92
