stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,49.04,0,0,0,0,0,0,0,0,151.2,0,0,4.09,0,0,16.35,32.69,65.38,0,0,0,0,0,8.17,0,0,0
72hpf,23.54,0,23.54,1.07,0,0,0,0,0,0,0,6.42,2.14,0,3.21,1.07,0,8.56,134.79,19.26,0,2.14,1.07,0,2.14,1.07,0,0,0
21Day,2.68,0,22.76,1.34,1.34,0,0,0,0,1.34,0,2.68,0,0,1.34,0,0,4.02,69.6,4.02,0,0,2.68,0,0,0,0,0,8.03
3Month,0.32,0.32,16.96,0,0.32,0,0.32,1.6,0.32,0,0.32,12.48,0.32,0.32,1.28,0,0.32,24.96,2.88,0,0.32,0,0.96,0.64,0,0,0.64,0.32,1.92
22Month,0,0,14.76,0,0,0.55,0,9.84,0,0.55,0,3.28,0,0,0.55,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.55
