stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,1.07,0,6.42,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,1.34,1.34
3Month,0,0,0,0,0.64,0,0.32,0,0,0,0,0
22Month,0,0,0.55,1.09,4.37,0.55,0,0,0.55,0,0,0
