stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,8.17,4.09,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,20.33,0,0,0,0,0,0,10.7,5.35,3.21,0,0,3.21,1.07,0,3.21,0,1.07,0,0,0
21Day,1.34,0,0,2.68,0,5.35,0,0,0,0,0,0,0,0,2.68,0,0,4.02,0,4.02,0,0,0,0,5.35,2.68,0,0,0,0,4.02,0,30.79,0,0,0,0,0
3Month,0.32,0.64,1.28,16.64,0,0,0.64,0.32,5.76,6.08,0,0,35.51,42.87,0.32,12.8,0.96,4.8,5.76,6.08,1.28,0,3.2,2.56,0.64,0.32,1.92,1.92,0,0.96,7.04,0.64,922.73,0.64,0,2.88,161.25,4.8
22Month,0.55,3.28,1.09,5.47,0.55,0,1.09,0,2.19,6.56,0.55,0,63.96,19.68,0,12.57,0.55,0,3.83,3.28,0,0.55,1.09,0,1.09,0,1.64,1.09,3.83,0,0,0,225.22,0,0,0.55,1.09,1.09
