stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,269.7,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,17.12,3.21,0,14.98,0,13.91,0,0,0,0,0,0,0,2.14,18.19,1.07,16.05,2.14,2.14,1875.34,481.41,2.14,2.14,0,20.33,0,0,39.58,16.05,6.42,0,0,0,0
21Day,8.03,0,0,14.72,2.68,17.4,0,0,0,1.34,1.34,5.35,1.34,4.02,14.72,4.02,28.11,5.35,0,603.68,309.2,4.02,0,0,6.69,24.09,0,8.03,4.02,22.76,4.02,0,0,0
3Month,0,0.32,0,2.56,0.64,0,0.32,0.32,0.96,3.52,0.96,0.32,0.64,0.64,0.96,0.32,0.96,0,8.64,9.92,1.92,3.84,0.32,0,0.32,0,3.52,0,0.32,0.32,0,1.6,1.28,2.24
22Month,0,0,0.55,1.64,0.55,0,0,0,0.55,12.03,0.55,0,2.19,0,0.55,1.09,1.64,0,0.55,6.56,1.64,14.21,1.09,0.55,0,0,4.37,0.55,4.37,0,0,0,0,0.55
