stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,4.02,0,0,0,0,0,0,1.34,0,0,0,0,0,9.37
3Month,0.64,1.6,0,0.32,1.6,0,0.96,0.96,0.64,0.64,0,4.16,1.28,0.32,0.32,0,0,0,1.28,16.96,0.32,49.27
22Month,0,1.09,0,0,0.55,1.64,3.28,0,0,1.09,1.09,6.01,0.55,0,0,0,0,0.55,0,1.09,0,13.67
