stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0
3Month,0.32,0.32,2.24,0.64,1.92,0.32,0.64,0.32,1.92,0.64,0.32,0,0.32,0,72.31,1.28,37.75,0.32
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0
