stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,12.26,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,4.09,0,0,0,0,4.09,220.67,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,1.07,2.14,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,5.35,1.07,9.63,0,0,0,0,18.19,24.61,0,0,3.21,0,4.28,0,0,0,0
21Day,0,0,9.37,0,1.34,0,0,0,0,0,2.68,0,1.34,1.34,0,1.34,0,2.68,0,0,1.34,0,5.35,5.35,0,0,5.35,0,1.34,0,0,0,1.34
3Month,0.32,4.48,14.08,0,0,0.64,0.32,0.64,1.28,0,8.96,1.92,0.96,4.48,0.64,7.68,2.56,10.88,2.56,0,0.32,1.28,0,0.32,0,0.32,0.64,9.28,0.32,0.32,3.84,17.28,0
22Month,0,2.19,2.19,0,0,0.55,0,0,2.19,0.55,20.77,0.55,0.55,1.09,0,0,2.73,3.28,0,0.55,0.55,0,0,0,0.55,0.55,0,1.09,0,0,0.55,0,2.19
