stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,2.14,0,0
21Day,8.03,1.34,0,0,0,0,0,0,6.69,0,0,1.34,0,2.68
3Month,0.96,0,0,0.96,0.32,0.32,0,0,4.48,0,0.64,0,0.32,0
22Month,0,0,0.55,6.56,0.55,0,0,1.09,1.09,0.55,0,0,0,0
