stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,16.35,0,0,0,0,8.17,16.35,0,8.17,138.94,0,8.17,0,0,0,4.09,0,0
72hpf,1.07,1.07,0,0,0,3.21,1.07,3.21,0,4.28,13.91,0,3.21,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,1.34,1.34,2.68,0,2.68,0,0,1.34,0,0,0
3Month,0,0.32,0,0.96,0.32,0,0,0,0,0.32,0,0.32,0,0,3.84,0,0,0.32,0.32
22Month,0,0.55,0.55,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
