stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,12.26,0,12.26,57.21,0,0,0,0,4.09,224.75,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0
3Month,0.32,0.64,0,19.52,0.96,3.52,2.56,0.32,12.16,0.64,0.96,19.2,0,4.8,1.92,1.92,0.32,0,3.2,0.96,0.96,0,0.96,0.32,0.64,0.32,56.63,0.32,0.96,31.04,3.84
22Month,0,0.55,0.55,1.09,0,1.64,0.55,0,17.49,0.55,0,2.19,0,0,1.64,0,0,0.55,0.55,0,0,0,0,0,0,0,3.28,0.55,0,0,0.55
