stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,5.35,1.07,0,0,0,0,0,0,0,0,7.49,0,3.21,0,0,0,1.07,3.21,0,0,0,0,0,0,1.07,0,0,0
21Day,0,32.12,0,0,0,0,0,0,0,0,0,14.72,0,8.03,0,6.69,0,2.68,2.68,1.34,0,2.68,1.34,1.34,0,0,0,0,0
3Month,0.32,36.79,0,0.32,0.64,0.96,0,0.32,0.32,0.64,1.28,17.6,0.64,7.36,2.24,1.6,0.32,0,0.32,0.64,0,0.96,0.64,7.68,0,0,1.92,7.68,0.32
22Month,0,8.75,0,0,0,0.55,0.55,4.92,0,0.55,0,1.64,0.55,4.92,0,0,0,0,0,0,0.55,0,0,4.92,0.55,0,0,0,0
