stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,3.21,0,4.28,0,1.07,0,0,2.14,0,0,0,0,0,0
21Day,2.68,1.34,12.05,1.34,5.35,0,5.35,0,0,0,0,247.63,0,9.37,4.02,8.03,0,8.03,6.69,0,2.68,10.71,0,1.34,0,0,17.4
3Month,0,0.32,2.24,0.32,0,0.64,0,0.96,0.32,1.92,2.24,1.6,0.64,0.64,2.24,3.2,0.32,0,0,0.32,0,1.28,0.64,0.32,0.32,0.32,87.35
22Month,0,0,0.55,0,0,0.55,0.55,0,0.55,7.65,1.09,1.09,0,1.09,1.09,0.55,0,0,0,0,0,1.64,0,0.55,0,0,43.19
