stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,1.07,1.07,4.28,1.07,0,1.07,20.33,9.63,0,6.42,0,0,0,0,0,0
21Day,0,1.34,8.03,2.68,0,0,0,0,0,0,1.34,1.34,8.03,0,0,0,8.03,4.02,0,1.34,0,0,0,0,0,1.34
3Month,0,0,0.96,0,0.32,0.64,0,0.64,0,0.32,0,0,0.64,0,0.32,0,0,0,0.32,0.32,14.4,0.32,0.32,0.32,9.6,0.32
22Month,0,0,0,0,0,0,0.55,1.09,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
