stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,20.33,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,4.02,0,1.34,0,0,0,0,1.34,0,1.34,10.71,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.64,0.96,13.12,0,0,1.92,0.32,9.92,1.92,0.32,9.6,0.96,2.56,1.6,0.32,0.64,0,0.32,0.64,0.32,0,0.64,0.32,2.88,0.32,0.96,1.92
22Month,0.55,2.19,7.11,0.55,0,2.19,1.09,11.48,1.64,1.09,18.59,0,1.64,2.19,1.09,0,0.55,0.55,0,0.55,0,0.55,0,0,0.55,0,1.09
