stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,1.07,1.07,0,1.07,0,2.14,1.07,12.84,0,1.07,0,0,0
21Day,0,2.68,0,0,0,4.02,0,8.03,0,0,1.34,0,4.02
3Month,0,0,0.96,0,0,0,0,0,0,0,0,0,0
22Month,0,1.09,2.73,0,0.55,0,0,0,1.09,0,0,0.55,0
