stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,4.09,0,0,0,0,0,93.99,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,2.14,1.07,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,1.07,0,0,1.07,1.07,8.56,24.61,0,0,0,0,0,0,0,0,0
21Day,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,13.39,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0.96,0,47.99,0.64,0,0.64,0.64,0.32,1.6,4.48,0,27.2,6.4,1.28,10.24,3.84,4.8,6.08,4.8,0.32,0.32,1.28,1.6,1.6,3.52,1.6,0.64,0,0.32,4.8,557.99,1.28,414.33,4.16
22Month,0,2.73,0.55,16.95,0,0,0.55,0,0,0,2.73,0.55,43.19,1.09,0.55,1.64,0,1.09,5.47,5.47,0,2.19,0,0,1.09,4.37,2.19,0.55,72.71,0,0.55,86.92,0,1.09,1.64
