stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,4.28,0,3.21,135.86,6.42,0,0,4.28,0,0,0,0,0,0
21Day,2.68,0,1.34,4.02,0,42.83,1.34,0,0,0,2.68,0,6.69,2.68,14.72,111.1,5.35,1.34,0,5.35,5.35,1.34,0,1.34,0,0
3Month,0,0,0,1.92,0,0,0,0.32,0.32,0.96,0,0,0.32,0,0,0.64,0,0,0.32,0.32,0,1.92,0,0,0.32,1.28
22Month,0,0.55,0,0.55,0,0,0,0,0.55,6.56,0,2.73,0,0,1.64,1.09,0,0.55,0,0,0,2.73,1.64,0,0,0
