stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,20.43,36.78,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,3.21,0,7.49,0,10.7,0,0,0,0,1.07,0,0,3.21,52.42,11.77,2.14,11.77,0,1.07,0,1012.02,62.05,1.07,2.14,20.33,1.07,0,7.49,0,0,1.07,0,0
21Day,12.05,0,32.12,25.43,1.34,26.77,0,0,1.34,0,5.35,0,4.02,283.77,4.02,16.06,4.02,29.45,1.34,1.34,4.02,487.23,37.48,1.34,1.34,14.72,20.08,1.34,6.69,4.02,6.69,1.34,0,1.34
3Month,0,0.32,0.96,5.12,0,0,0.96,2.24,0.32,0,12.8,0.96,0,91.83,0.32,1.6,1.28,1.6,0.32,0,0.64,0,0.32,0,0.32,0.32,0.96,1.92,0,0,0,0,0.96,1.28
22Month,0,1.09,2.19,0.55,0,0,0.55,2.19,1.64,0.55,41,0.55,0,73.25,0,0.55,3.83,1.64,0,0.55,1.09,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0
