stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,1.07,0,0,0,0,1.07,0,36.37,8.56,0,0,0,0,0,1.07,0
21Day,0,0,0,1.34,0,0,2.68,0,8.03,1.34,14.72,2.68,0,1.34,2.68,2.68,0,0,1.34
3Month,0,0,0.96,0,0.64,0.32,0,0.32,0,0,0,0,0.32,0,0,0,0.32,0,0.64
22Month,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
