stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,4.09,16.35,0,0,0,0,0,24.52,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0,0,0,8.56,0,14.98,0,0,0,0,7.49,5.35,0,0,0,7.49,0,0,0,1.07,0,0,0
21Day,0,0,2.68,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,14.72,0,0,0,0,0,2.68,0,0,0,1.34,0,0,0,0,0,1.34,0
3Month,3.2,2.24,21.12,0,0,0.32,0,0.32,2.88,4.8,0,36.15,5.12,0.64,8.64,4.16,5.12,4.48,5.12,0.32,0,1.92,5.76,0.96,1.28,0.96,0.64,0,0.96,2.56,0.64,93.43,0.64,3.52,1926.41,2.88
22Month,3.28,0.55,5.47,0,0,0,0,0,0,0,3.28,32.8,0,0,1.64,0,0,0.55,1.09,0,1.09,0.55,0,0,0,0.55,0,0.55,0,0,0,13.12,0,0,8.2,0
