stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0
3Month,0.32,1.28,0.32,0.32,2.88,0.32,0.32,0.64,0.64,0,0.32,0,0,0.32,0.32,0,0.32,4.16,0,0,1.6,0.32
22Month,0,0,0,0,1.64,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0
