stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,4.09,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,4.09,12.26,0,0,0,0,249.27,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,3.21,0,0,0,0,0,0,0,0,0,1.07,0,2.14,5.35,1.07,3.21,0,0,0,14.98,75.96,0,5.35,0,0,2.14,0,0,0,0
21Day,4.02,0,17.4,0,26.77,0,9.37,0,0,0,0,0,4.02,1.34,0,6.69,1.34,13.39,0,0,0,4.02,30.79,0,5.35,2.68,0,1.34,1.34,0,0,1.34
3Month,0,0,4.16,0,0,0.32,0.32,3.2,0,0,3.84,1.28,0,1.6,0.32,0.32,5.76,0,0,0.32,0.32,0.96,0.32,0.32,0.32,0,38.71,0,0,2.88,2.24,1.6
22Month,0,1.09,0.55,0.55,0,0.55,0,3.28,0.55,0,15.85,1.09,1.09,1.64,0,0,3.28,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
