stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,4.09,0,0,0,0,0,61.3,0,8.17,0,0,0,0,0,0,0
72hpf,3.21,0,0,6.42,2.14,0,0,1.07,0,0,0,0,0,0,0,0,3.21,10.7,0,6.42,0,1.07,0,2.14,8.56,0,7.49,0,0,0,1.07,0,0,0
21Day,4.02,0,0,9.37,2.68,1.34,0,4.02,0,1.34,0,0,0,0,2.68,0,0,8.03,4.02,14.72,0,0,2.68,1.34,4.02,0,9.37,2.68,0,1.34,0,0,0,0
3Month,0,0.32,0.96,8.96,0,0,0.64,0.32,1.28,8.96,0,0,9.92,6.4,0,2.24,0.32,3.52,3.52,4.16,0.64,0,0.96,0.32,0,0.32,0.32,0.96,1.92,0.32,0,0.96,1.28,7.04
22Month,0,2.73,0.55,6.01,0,0,0.55,0,1.09,9.84,1.64,0,35.53,2.19,1.09,7.11,1.09,0.55,8.75,1.64,0,0,2.19,0,0,0.55,0,0,1.09,0,0,0.55,0,1.64
