stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,3.21,2.14,0,0,1.07,0,0,0
21Day,0,6.69,1.34,1.34,0,0,0,0,0,42.83,0,0,0,0,0,0,0,6.69,0,1.34,0,0,0
3Month,0.64,24.32,0,0,0.32,1.28,0.64,1.28,0.32,1.92,1.6,0.32,0.64,0.32,0,0,0,2.88,4.48,0,0.96,0.64,0
22Month,0,5.47,0,0,0.55,2.73,0,0,0.55,0.55,1.64,0.55,0,0,0,0,0,2.73,1.09,0,0,0,0.55
