stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,1.07,1.07,0,0,0,0,0,0,0,0,0,6.42,0,2.14,0,0,1.07,0,178.66,36.37,3.21,0,0,0,3.21,1.07,0,0,0
21Day,1.34,0,22.76,2.68,5.35,0,0,0,0,0,0,1.34,0,4.02,8.03,1.34,8.03,0,0,8.03,0,95.04,16.06,2.68,13.39,2.68,0,2.68,1.34,0,0,0
3Month,0,0.64,11.2,0,0,0.32,0.96,1.92,0,7.04,1.92,0.32,4.48,0.32,2.24,1.28,4.16,0.32,0,1.28,0.64,1.92,0.64,8,0.32,0.64,2.88,0,0,0.96,7.36,0.64
22Month,0,1.09,9.84,0,0,0,0,2.73,2.19,47.56,1.09,0,4.92,0,1.09,1.64,2.73,0,1.09,0.55,0,1.09,0,8.2,0,1.64,1.09,0,1.64,0,0,0
