stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,44.95,12.26,0,0,0,0,0,0,0,0,0,4.09,4.09,73.56,0,0,114.42,478.11,0,0,0,32.69,0,0,0,0,4.09,0,0
72hpf,6.42,1.07,1.07,1.07,2.14,0,0,0,0,0,0,3.21,0,31.02,0,1.07,130.51,39.58,1.07,0,0,13.91,0,0,8.56,0,3.21,0,0
21Day,8.03,1.34,2.68,0,1.34,0,0,0,0,0,0,0,0,28.11,0,0,40.16,9.37,0,1.34,0,10.71,1.34,0,9.37,1.34,0,0,0
3Month,0,1.28,0,0,0,0.32,0,0,2.24,0.96,0.32,0.32,0.32,2.56,0,0,0,0,0.96,0.96,0,0.64,0.32,0.64,0.32,0,0,0,0
22Month,0,2.19,0.55,0,0,0,2.19,1.09,34.44,1.64,0,0,0.55,10.39,1.64,0.55,2.19,0.55,2.19,2.73,1.09,0,0,0,3.28,0,0.55,1.09,0.55
