stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,24.52,0,0,0,0,0,0,8.17,0,0,0,0,44.95,0,12.26,0,0,0,0,16.35,12.26,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,8.56,0,1.07,0,0,0,0,0,0,0,0,16.05,56.7,0,0,0,0,0,0,1.07,1.07,0,0,2.14,0,0,1.07,0,0,0
21Day,0,1.34,13.39,0,1.34,0,0,0,0,0,0,0,9.37,2.68,36.14,0,0,0,0,0,0,6.69,1.34,0,0,6.69,1.34,0,0,0,0,0
3Month,0.32,1.92,46.39,0,0,0.64,18.56,0.32,0,0,9.28,1.92,68.47,8.32,4.8,5.12,0.64,0.64,0,16,3.2,0.32,0,2.88,0.64,0,1.6,1.92,0,1.92,1.28,1.92
22Month,0.55,7.11,47.01,0.55,0,0,25.15,2.73,1.09,0,13.67,0,98.94,1.09,3.28,1.64,2.73,0,1.09,7.65,0,0,0,3.83,0,0,0,0,0,0,0,0
