stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,0,3.21,2.14,0,1.07,0,1.07,0,0,0,0,0
21Day,0,0,2.68,2.68,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,4.02,1.34,0,0,0,0,1.34,1.34,0,0,0
3Month,0,0,0.32,0,0,0,0,0,1.6,0,0,0.96,0.32,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0.96,0
22Month,2.19,0.55,3.83,0,2.19,3.83,2.73,0,30.61,1.09,0.55,0.55,0,0,1.09,9.84,2.19,2.73,0,0,170.01,0,16.4,0,0,0,1.09,0,1.09
