stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,103.77,1.07,0,22.47,0,0,1.07,0,0,0,0
21Day,0,0,9.37,0,0,0,0,0,0,1.34,0,0,4.02,0,1.34,0,0,0,0,14.72,1.34,0,21.42,1.34,0,2.68,0,0,0,0
3Month,1.6,0.64,24,8.32,0.32,2.88,0,3.84,0.64,0.64,0.96,0.64,2.24,0.32,19.84,0.64,0,0.32,0.32,0.96,1.92,1.28,1.6,0,12.8,17.28,10.56,1.6,13.76,0
22Month,1.09,4.92,14.76,3.83,1.64,2.73,0.55,8.2,0.55,0.55,1.09,0.55,0.55,0.55,14.21,0,1.09,0.55,0,0,0,0.55,0,1.09,4.37,39.91,2.19,0,0.55,1.64
