stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,4.09,0,0,0,0,0,0,16.35,0,0,0,4.09,4.09,8.17,24.52,0,0,0,0,12.26,809.11,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,12.84,2.14,0,0,0,0,0,0,0,0,0,6.42,2.14,0,4.28,0,0,0,2.14,79.16,59.91,0,0,0,5.35,0,0,0,3.21,0,0,0
21Day,1.34,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,4.02,0,0,0,0,13.39,14.72,0,0,0,0,0,2.68,1.34,0,0,0,0
3Month,0.32,1.28,1.28,7.36,6.4,0,0.32,0.32,0.64,0.32,0,0,52.79,2.88,10.56,0.64,2.88,4.48,4.16,0.64,0,0.64,0.64,0.96,0.32,0,0.32,0,0.32,1.28,100.46,0.64,1.6,0.32,43.19,1.6
22Month,0,1.09,0,2.73,5.47,0,0.55,0,0,1.64,0.55,0,75.98,0.55,13.67,1.09,0,3.28,4.92,0.55,3.83,0.55,0,0,0.55,0.55,0.55,8.2,0,0,78.72,1.64,0,0.55,0,1.09
