stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,24.52,0,4.09,4.09,0,0,0,0,0,0,0,4.09,0,4.09,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,1.07,7.49,1.07,1.07,0,2.14,0,0,0,1.07,0,0
21Day,1.34,0,0,1.34,0,0,0,5.35,0,1.34,0,0,0,0,1.34,0,0,0,0,4.02,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0.32,3.84,0,0.32,0.32,0.96,45.11,1.28,0,0.96,1.92,1.6,0.64,1.92,0.32,0,0.64,0.32,3.2,0,0.64,0,0,1.28,1.28,0.32,0,30.08,1.92
22Month,0.55,0,0.55,0,0,0.55,3.28,19.13,1.09,0,0.55,1.09,0,2.19,1.09,0,0.55,0,0,0,0,0.55,0.55,0,0.55,1.64,0.55,0,0.55,0.55
