stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,16.35,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0,0.64,0.32,0.32,0.96,0.32,0,0.64,0,0,0,0.64
22Month,0.55,0,0,1.09,0,0,0,0,0,0,0,0,0
