stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Primordial_germ_cell
24hpf,0,0,0,4.09,0,0
72hpf,0,0,0,6.42,0,0
21Day,1.34,0,0,6.69,2.68,0
3Month,0.32,0,0.32,0,0,0.32
22Month,0,0.55,1.09,0,0,0
