stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,73.56,8.17,0,32.69,0,0,0,0,0,0,12.26,0,0,0,0,4.09,12.26,0,57.21,0,0,0,0,8.17,118.51,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,13.91,1.07,0,8.56,2.14,0,2.14,0,0,0,0,0,0,0,0,5.35,22.47,0,5.35,0,1.07,0,0,35.3,16.05,0,0,0,6.42,0,0,4.28,1.07,1.07,0,0,0
21Day,29.45,0,0,20.08,0,0,4.02,0,0,0,0,2.68,1.34,0,0,2.68,17.4,1.34,13.39,0,0,0,0,10.71,5.35,0,0,0,8.03,5.35,4.02,2.68,1.34,0,0,0,2.68
3Month,0.64,0.64,1.28,26.88,0,0.96,0,2.88,2.24,0.32,0,39.99,0.64,0.32,4.48,0.96,9.28,2.88,29.76,10.56,0,1.6,0.32,0.32,0,0.32,0.32,0,1.28,1.28,21.12,0,0,0,0.96,4.8,0.64
22Month,0,1.64,0.55,4.92,0,0,0,0.55,2.19,0,0,25.15,0.55,1.09,2.73,0,0.55,0.55,12.57,0,0,2.73,0,0,0.55,0,0,0.55,0,0,22.41,0.55,0.55,0,0,0,0.55
