stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,16.35,0,65.38,0,0,0,0,0,0,0,0,0,8.17,36.78,24.52,89.9,0,0,0,0,49.04,11772.93,0,0,0,16.35,0,0,0,0,0,4.09,0,0,0
72hpf,42.79,4.28,0,18.19,5.35,22.47,0,0,0,0,0,1.07,0,10.7,29.95,41.72,39.58,0,1.07,0,1.07,1888.18,2024.04,1.07,6.42,0,43.86,0,0,129.44,1.07,7.49,1.07,0,0,0
21Day,28.11,2.68,1.34,40.16,0,25.43,9.37,0,0,5.35,1.34,6.69,8.03,2.68,20.08,18.74,36.14,0,0,0,0,844.61,1044.06,1.34,1.34,0,22.76,36.14,0,111.1,2.68,29.45,8.03,0,0,9.37
3Month,0.32,1.28,0,4.8,0,0,0,3.2,1.28,3.84,1.92,0.32,1.92,1.28,2.24,7.04,1.6,0.96,0,0.64,0.64,14.08,21.76,0,0.32,0,0,0.32,5.76,0.96,0,0,0.32,0.32,87.35,1.92
22Month,0,0.55,0.55,6.56,0,0,0,0,2.73,16.95,0.55,0,1.64,0,0.55,20.77,3.83,0,0.55,0.55,0,10.39,29.52,0,0.55,0.55,0,0,4.92,7.11,0.55,0,0,0,0.55,2.73
