stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,281.96,0,0,0,0,0,0,0,0,0,0,16.35,0,130.76,0,12.26,0,0,0,0,4.09,20.43,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,13.91,1.07,0,0,0,0,0,0,0,0,0,7.49,0,127.31,0,4.28,0,0,0,0,25.67,3.21,0,0,3.21,0,1.07,0,0,0,0,0
21Day,2.68,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,1.6,0.64,40.31,0,0.32,0,0,4.48,0.96,0,5.76,2.24,0.96,3.84,1.92,3.52,1.6,3.52,1.28,0,0.32,0.96,0,0,0.64,0,0,3.52,0.32,0,0,1.92,0.64,2.56
22Month,0,3.83,5.47,44.83,0,0.55,1.09,0.55,10.39,0.55,7.11,37.17,2.19,4.37,39.36,3.28,13.12,6.56,14.76,0,1.64,0.55,1.09,0,0,0.55,2.73,0,1.09,1.09,0.55,0.55,0,0,2.19
