stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,1.07,4.28,1.07,1.07
21Day,0,0,1.34,1.34,4.02,2.68,0
