stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,1.28,4.48,13.44,0.32,0,5.76,0.32,1.92,4.16,0.32,1113.1,3.84,15.36,2.56,1.28,3.84,8.64,0.64,0.32,1.92,1.6,0.32,0.64,1.28,1.6,0.32,16.64,2.56,0.96,2.56,1.92,3.84
22Month,0,0.55,0,0,0,0,1.09,0,0,0,0,242.17,0,2.73,0,0,0,0.55,0,5.47,0,0,0,0,0.55,0,0,1.09,0,0,0,0,0
